Classifier,Vectorizer,accuracy,f1,precision,recall
Logistic Regression,bow_count,0.3481989708404803,0.3016291570055953,0.316155020059621,0.3481989708404803
GradientBoosting,bow_count,0.3249857061177816,0.2845019947528841,0.3111131766207883,0.3249857061177816
RandomForest,bow_count,0.3053173241852487,0.22225631351074016,0.29501232744478784,0.3053173241852487
SVM,bow_count,0.32955974842767294,0.2734026705242153,0.3293888903509736,0.32955974842767294
Logistic Regression_balance,bow_count,0.34762721555174386,0.33015697657687765,0.328685908277349,0.34762721555174386
RandomForest_balance,bow_count,0.3292166952544311,0.2881998478677783,0.30050863778749526,0.3292166952544311
SVM_balance,bow_count,0.32647226986849626,0.3132995788472519,0.3096205507281255,0.32647226986849626
KNN,bow_count,0.2021726700971984,0.13376736536601955,0.1672909012486086,0.2021726700971984
Logistic Regression,bow_tfidf,0.32246998284734135,0.3079152174356839,0.30209453454336976,0.32246998284734135
GradientBoosting,bow_tfidf,0.32818753573470555,0.29430440933520424,0.30984488720807857,0.32818753573470555
RandomForest,bow_tfidf,0.3082904516866781,0.2308410844948304,0.2640464049686183,0.3082904516866781
SVM,bow_tfidf,0.3506003430531732,0.32205598059457163,0.3237466296285866,0.3506003430531732
Logistic Regression_balance,bow_tfidf,0.3502572898799314,0.3143218681172589,0.3207081067655423,0.3502572898799314
RandomForest_balance,bow_tfidf,0.32384219554030874,0.28495043215729754,0.2968222895546558,0.32384219554030874
SVM_balance,bow_tfidf,0.3501429388221841,0.3215476016934651,0.3230651255498217,0.3501429388221841
KNN,bow_tfidf,0.23270440251572327,0.18081798420633094,0.19632975853255025,0.23270440251572327
Logistic Regression,word2vec_1gram,0.33299028016009147,0.29236599885300507,0.2971858616875245,0.33299028016009147
GradientBoosting,word2vec_1gram,0.30943396226415093,0.276548295067298,0.26995194980265186,0.30943396226415093
RandomForest,word2vec_1gram,0.3068038879359634,0.23660341312677816,0.2493236838491475,0.3068038879359634
SVM,word2vec_1gram,0.3393939393939394,0.2969193308720165,0.3068544792004651,0.3393939393939394
Logistic Regression_balance,word2vec_1gram,0.3161806746712407,0.28744875571023704,0.28367072172788227,0.3161806746712407
RandomForest_balance,word2vec_1gram,0.29857061177815897,0.2382409744445771,0.2460392115369626,0.29857061177815897
SVM_balance,word2vec_1gram,0.30543167524299597,0.309411536605402,0.31786737094860706,0.30543167524299597
KNN,word2vec_1gram,0.25008576329331045,0.24417694031897547,0.24337010616250698,0.25008576329331045
Logistic Regression,word2vec_3gram,0.33413379073756433,0.2888150095615656,0.29199287266347385,0.33413379073756433
GradientBoosting,word2vec_3gram,0.3089765580331618,0.2778005349962611,0.27147219149202395,0.3089765580331618
RandomForest,word2vec_3gram,0.31435105774728417,0.252960782935651,0.26052521682429336,0.31435105774728417
SVM,word2vec_3gram,0.33779302458547744,0.28465910977694114,0.27237961790512893,0.33779302458547744
Logistic Regression_balance,word2vec_3gram,0.32246998284734135,0.30509360956324566,0.2993811707151415,0.32246998284734135
RandomForest_balance,word2vec_3gram,0.3097770154373928,0.2612052621750427,0.2648481079282699,0.3097770154373928
SVM_balance,word2vec_3gram,0.3039451114922813,0.3093398878354003,0.319720047334404,0.3039451114922813
KNN,word2vec_3gram,0.2604917095483133,0.2522382685090411,0.2495425223840761,0.2604917095483133
Logistic Regression,word2vec_1gram_w8,0.3365351629502573,0.29589133659181044,0.2991323618466116,0.3365351629502573
GradientBoosting,word2vec_1gram_w8,0.3140080045740423,0.28405844709964595,0.279370180251142,0.3140080045740423
RandomForest,word2vec_1gram_w8,0.30806174957118354,0.2404571766709007,0.25151395648949604,0.30806174957118354
SVM,word2vec_1gram_w8,0.3381360777587193,0.27961631497326317,0.37518651589767954,0.3381360777587193
Logistic Regression_balance,word2vec_1gram_w8,0.32384219554030874,0.2944982569229748,0.29237161437966214,0.32384219554030874
RandomForest_balance,word2vec_1gram_w8,0.3105774728416238,0.2528172751375627,0.259903202381307,0.3105774728416238
SVM_balance,word2vec_1gram_w8,0.3060034305317324,0.310270048281874,0.3189409625121104,0.3060034305317324
KNN,word2vec_1gram_w8,0.25523156089193827,0.24845296724636148,0.24749690981061645,0.25523156089193827
