Classifier,Vectorizer,accuracy,f1,precision,recall
Logistic Regression,bow_count,0.5704974271012007,0.55484732314586,0.5707780122234583,0.5704974271012007
GradientBoosting,bow_count,0.5272727272727272,0.509619681270152,0.5320172454574438,0.5272727272727272
RandomForest,bow_count,0.5081761006289308,0.4558635714476537,0.5301391023896097,0.5081761006289308
SVM,bow_count,0.5630646083476272,0.540832325581732,0.5693963339609985,0.5630646083476272
Logistic Regression_balance,bow_count,0.5706117781589479,0.5678487842532661,0.5769543309025444,0.5706117781589479
RandomForest_balance,bow_count,0.5352773013150371,0.5194438963162905,0.5362409407669624,0.5352773013150371
SVM_balance,bow_count,0.5787307032590051,0.573992442639767,0.5743154952127066,0.5787307032590051
KNN,bow_count,0.3415666094911378,0.2798075474907286,0.388876156780415,0.3415666094911378
Logistic Regression,bow_tfidf,0.5677530017152659,0.5622265581461497,0.562616238854968,0.5677530017152659
GradientBoosting,bow_tfidf,0.5323041738136077,0.5169644736032386,0.5295408504631538,0.5323041738136077
RandomForest,bow_tfidf,0.5136649514008005,0.4637432656467721,0.531842763324413,0.5136649514008005
SVM,bow_tfidf,0.5987421383647799,0.5889472360734175,0.5945696370337393,0.5987421383647799
Logistic Regression_balance,bow_tfidf,0.5785020011435106,0.5715509049656823,0.5799895983205609,0.5785020011435106
RandomForest_balance,bow_tfidf,0.5417953116066324,0.5263610884636489,0.5392150382729157,0.5417953116066324
SVM_balance,bow_tfidf,0.5988564894225271,0.5890592212427463,0.5946756762192785,0.5988564894225271
KNN,bow_tfidf,0.4121212121212121,0.3856437592275227,0.43743201515969243,0.4121212121212121
Logistic Regression,word2vec_1gram,0.5845626072041167,0.5764684396557392,0.5787690269626027,0.5845626072041167
GradientBoosting,word2vec_1gram,0.5694682675814752,0.5606908313401485,0.5632612970601141,0.5694682675814752
RandomForest,word2vec_1gram,0.5333333333333333,0.4963533508132417,0.5308691383180841,0.5333333333333333
SVM,word2vec_1gram,0.589136649514008,0.5819391466295732,0.584059217721411,0.589136649514008
Logistic Regression_balance,word2vec_1gram,0.5671812464265295,0.564286391517502,0.5689595734846122,0.5671812464265295
RandomForest_balance,word2vec_1gram,0.534819897084048,0.5072523799358672,0.5276493575947255,0.534819897084048
SVM_balance,word2vec_1gram,0.5854774156660949,0.5876098161747187,0.5935180648189534,0.5854774156660949
KNN,word2vec_1gram,0.5008576329331046,0.49484225803647675,0.4968026306961715,0.5008576329331046
Logistic Regression,word2vec_3gram,0.5889079473985135,0.5779040811672695,0.5842709821170265,0.5889079473985135
GradientBoosting,word2vec_3gram,0.5671812464265295,0.5589771319229745,0.5609085931462012,0.5671812464265295
RandomForest,word2vec_3gram,0.5486563750714694,0.5215648789320604,0.5444584964688801,0.5486563750714694
SVM,word2vec_3gram,0.5935963407661521,0.5806230020724215,0.5905195312205775,0.5935963407661521
Logistic Regression_balance,word2vec_3gram,0.5732418524871356,0.5723332102718308,0.5765681788189091,0.5732418524871356
RandomForest_balance,word2vec_3gram,0.5486563750714694,0.5316241545459871,0.5427909994568406,0.5486563750714694
SVM_balance,word2vec_3gram,0.5862778730703259,0.5881214523985699,0.5933074647101214,0.5862778730703259
KNN,word2vec_3gram,0.5127501429388222,0.5060906111320531,0.5072721727561491,0.5127501429388222
Logistic Regression,word2vec_1gram_w8,0.5910806174957118,0.5830672638342003,0.5850669478671258,0.5910806174957118
GradientBoosting,word2vec_1gram_w8,0.5710691823899371,0.5631623981171935,0.5653493873610278,0.5710691823899371
RandomForest,word2vec_1gram_w8,0.5424814179531161,0.5083427518468313,0.5436268265748975,0.5424814179531161
SVM,word2vec_1gram_w8,0.5937106918238994,0.5783430071435619,0.5911680924405828,0.5937106918238994
Logistic Regression_balance,word2vec_1gram_w8,0.5688965122927387,0.5658567858426645,0.5704217782250134,0.5688965122927387
RandomForest_balance,word2vec_1gram_w8,0.5445397369925672,0.5222996697623499,0.5392112325068669,0.5445397369925672
SVM_balance,word2vec_1gram_w8,0.5823899371069182,0.584471780390218,0.5901629616128531,0.5823899371069182
KNN,word2vec_1gram_w8,0.5064608347627215,0.5003207052262844,0.5022635620303728,0.5064608347627215
