Classifier,Vectorizer,accuracy,f1,precision,recall
Logistic Regression,bow_count,0.8148656375071469,0.8066417632716244,0.815477187228418,0.8148656375071469
GradientBoosting,bow_count,0.7749571183533448,0.7599738147174224,0.7751349853289222,0.7749571183533448
RandomForest,bow_count,0.771412235563179,0.7435441033817541,0.7937068375892866,0.771412235563179
SVM,bow_count,0.8002287021154946,0.7857485090873138,0.8078299856890099,0.8002287021154946
Logistic Regression_balance,bow_count,0.8068610634648371,0.80901885682074,0.8136763477179232,0.8068610634648371
RandomForest_balance,bow_count,0.7980560320182962,0.7946155652560741,0.7944006218712174,0.7980560320182962
SVM_balance,bow_count,0.8154373927958833,0.8125612258801548,0.8125204356500129,0.8154373927958833
KNN,bow_count,0.6724985706117782,0.6318952280538787,0.647860689542023,0.6724985706117782
Logistic Regression,bow_tfidf,0.8134934248141795,0.8087962594326995,0.8106583320728932,0.8134934248141795
GradientBoosting,bow_tfidf,0.7767867352773014,0.7632062932059935,0.7758527746515966,0.7767867352773014
RandomForest,bow_tfidf,0.7683247570040023,0.7397148685631573,0.7900449109026977,0.7683247570040023
SVM,bow_tfidf,0.8287021154945683,0.8224080750247676,0.8288974625182448,0.8287021154945683
Logistic Regression_balance,bow_tfidf,0.8248141795311607,0.8242840480274443,0.8238864346915676,0.8248141795311607
RandomForest_balance,bow_tfidf,0.7993138936535163,0.7948810089499492,0.7955468701586288,0.7993138936535163
SVM_balance,bow_tfidf,0.8288164665523156,0.8225380231576255,0.8290069800139165,0.8288164665523156
KNN,bow_tfidf,0.7073756432246998,0.6800101980324137,0.6951724181942689,0.7073756432246998
Logistic Regression,word2vec_1gram,0.8324757004002287,0.8293640104493903,0.8302381944685873,0.8324757004002287
GradientBoosting,word2vec_1gram,0.8149799885648942,0.8098701168823437,0.8124621482771094,0.8149799885648942
RandomForest,word2vec_1gram,0.7908519153802173,0.7761033423140874,0.7956114648951529,0.7908519153802173
SVM,word2vec_1gram,0.8291595197255575,0.8263914545845993,0.8267335286930693,0.8291595197255575
Logistic Regression_balance,word2vec_1gram,0.81852487135506,0.8199178376337662,0.8223885674032507,0.81852487135506
RandomForest_balance,word2vec_1gram,0.7962264150943397,0.7862027583530472,0.7955992845489956,0.7962264150943397
SVM_balance,word2vec_1gram,0.8210405946255003,0.8236842110229303,0.8314414216474154,0.8210405946255003
KNN,word2vec_1gram,0.770611778158948,0.767084099225853,0.7661163542188905,0.770611778158948
Logistic Regression,word2vec_3gram,0.834190966266438,0.8299859518879145,0.8326628266681676,0.834190966266438
GradientBoosting,word2vec_3gram,0.8146369353916524,0.8097722104141868,0.8119616828753762,0.8146369353916524
RandomForest,word2vec_3gram,0.7956546598056032,0.7842960949782913,0.7965780978594048,0.7956546598056032
SVM,word2vec_3gram,0.8295025728987994,0.8239813269983991,0.8288151703314341,0.8295025728987994
Logistic Regression_balance,word2vec_3gram,0.8165809033733562,0.8187434661238647,0.8237902238759177,0.8165809033733562
RandomForest_balance,word2vec_3gram,0.803659233847913,0.7970243716219725,0.8009995348577276,0.803659233847913
SVM_balance,word2vec_3gram,0.8243567753001715,0.8267743156601192,0.8334697976171265,0.8243567753001715
KNN,word2vec_3gram,0.7742710120068611,0.768809031694359,0.7690456496522369,0.7742710120068611
Logistic Regression,word2vec_1gram_w8,0.8347627215551744,0.831956280400396,0.8325637762600979,0.8347627215551744
GradientBoosting,word2vec_1gram_w8,0.8171526586620926,0.8122670636136737,0.8146884119414797,0.8171526586620926
RandomForest,word2vec_1gram_w8,0.7975986277873071,0.7846757479927986,0.8014180138611166,0.7975986277873071
SVM,word2vec_1gram_w8,0.8328187535734706,0.8269190517367657,0.8330564617514673,0.8328187535734706
Logistic Regression_balance,word2vec_1gram_w8,0.8165809033733562,0.8180847913781975,0.8208333282066191,0.8165809033733562
RandomForest_balance,word2vec_1gram_w8,0.8021726700971984,0.7945850727494789,0.8000621942860595,0.8021726700971984
SVM_balance,word2vec_1gram_w8,0.8227558604917096,0.8252964059468951,0.8325744114380337,0.8227558604917096
KNN,word2vec_1gram_w8,0.7740423098913665,0.7704978348361133,0.769621939499757,0.7740423098913665
