Classifier,Vectorizer,accuracy,f1,precision,recall
LogisticRegression,bow_count,0.2688679245283019,0.2336583447950222,0.21042429655057304,0.2688679245283019
KNeighborsClassifier,bow_count,0.18867924528301888,0.0903114462905909,0.10324709357728226,0.18867924528301888
GradientBoostingClassifier,bow_count,0.29245283018867924,0.26431435480625876,0.2835266420989028,0.29245283018867924
MLPClassifier,bow_count,0.2783018867924528,0.25571789120865285,0.24205652602676944,0.2783018867924528
RandomForestClassifier,bow_count,0.29245283018867924,0.21344517831724086,0.28128327021047167,0.29245283018867924
SVC,bow_count,0.32075471698113206,0.2795833697197141,0.2852949849850295,0.32075471698113206
LogisticRegression,bow_tfidf,0.29245283018867924,0.252864605873786,0.24417064063144442,0.29245283018867924
KNeighborsClassifier,bow_tfidf,0.23113207547169812,0.22184778965239074,0.23803936883501256,0.23113207547169812
GradientBoostingClassifier,bow_tfidf,0.3018867924528302,0.2586106355384468,0.2443946593451886,0.3018867924528302
MLPClassifier,bow_tfidf,0.2783018867924528,0.2615511142516773,0.280114026206005,0.2783018867924528
RandomForestClassifier,bow_tfidf,0.29245283018867924,0.20336634962789116,0.1885167817450061,0.29245283018867924
SVC,bow_tfidf,0.29245283018867924,0.2319151557202929,0.22687709298704692,0.29245283018867924
LogisticRegression,word2vec_1gram,0.32075471698113206,0.2552294198828285,0.2607112802601774,0.32075471698113206
KNeighborsClassifier,word2vec_1gram,0.1792452830188679,0.17292276726883068,0.17552066859870963,0.1792452830188679
GradientBoostingClassifier,word2vec_1gram,0.22169811320754718,0.19103151674434501,0.18000402358586753,0.22169811320754718
MLPClassifier,word2vec_1gram,0.27358490566037735,0.18007981245899818,0.14325481425958808,0.27358490566037735
RandomForestClassifier,word2vec_1gram,0.24528301886792453,0.20426792293779167,0.21070336788222546,0.24528301886792453
SVC,word2vec_1gram,0.24528301886792453,0.1268277329349822,0.13985618740429967,0.24528301886792453
LogisticRegression,word2vec_3gram,0.30660377358490565,0.22950039469733047,0.25229301416777417,0.30660377358490565
KNeighborsClassifier,word2vec_3gram,0.19339622641509435,0.18605205528234545,0.18137397194000968,0.19339622641509435
GradientBoostingClassifier,word2vec_3gram,0.2641509433962264,0.23907813596865612,0.2726746246724049,0.2641509433962264
MLPClassifier,word2vec_3gram,0.2688679245283019,0.17191486144261728,0.12738069119705803,0.2688679245283019
RandomForestClassifier,word2vec_3gram,0.2688679245283019,0.22260390535498714,0.2120892178643102,0.2688679245283019
SVC,word2vec_3gram,0.18867924528301888,0.07411468093506274,0.21419537872573147,0.18867924528301888
LogisticRegression,word2vec_1gram_w8,0.3113207547169811,0.24428373221331587,0.24567523583392267,0.3113207547169811
KNeighborsClassifier,word2vec_1gram_w8,0.19339622641509435,0.18563876048910385,0.18609691504127937,0.19339622641509435
GradientBoostingClassifier,word2vec_1gram_w8,0.2783018867924528,0.19220677099042197,0.1887160166937585,0.2783018867924528
MLPClassifier,word2vec_1gram_w8,0.3018867924528302,0.2157011621960309,0.3040301053426566,0.3018867924528302
RandomForestClassifier,word2vec_1gram_w8,0.2783018867924528,0.21903486638925526,0.20469316451300296,0.2783018867924528
SVC,word2vec_1gram_w8,0.28773584905660377,0.18855479605972425,0.14345534928591577,0.28773584905660377
