Classifier,Vectorizer,accuracy,f1,precision,recall
LogisticRegression,bow_count,0.5424528301886793,0.5141818907746045,0.5125386048327754,0.5424528301886793
KNeighborsClassifier,bow_count,0.32547169811320753,0.23423899844012247,0.3858217117856167,0.32547169811320753
GradientBoostingClassifier,bow_count,0.5094339622641509,0.4808246645808071,0.48689683549695717,0.5094339622641509
MLPClassifier,bow_count,0.5141509433962265,0.501562395829209,0.5020078605604921,0.5141509433962265
RandomForestClassifier,bow_count,0.4811320754716981,0.4313794637988253,0.4329320285428163,0.4811320754716981
SVC,bow_count,0.5424528301886793,0.5001031205503128,0.5016731749409042,0.5424528301886793
LogisticRegression,bow_tfidf,0.5471698113207547,0.5086177280778437,0.4975073824978691,0.5471698113207547
KNeighborsClassifier,bow_tfidf,0.4716981132075472,0.45779282827888246,0.4520077270304588,0.4716981132075472
GradientBoostingClassifier,bow_tfidf,0.47641509433962265,0.4466068952142102,0.44132455594719744,0.47641509433962265
MLPClassifier,bow_tfidf,0.5377358490566038,0.5127626384968396,0.5150612600019173,0.5377358490566038
RandomForestClassifier,bow_tfidf,0.5188679245283019,0.4692170093714222,0.45933006135558857,0.5188679245283019
SVC,bow_tfidf,0.5283018867924528,0.47962780492412255,0.44887417352039993,0.5283018867924528
LogisticRegression,word2vec_1gram,0.5518867924528302,0.5100918747658627,0.5178923349923532,0.5518867924528302
KNeighborsClassifier,word2vec_1gram,0.3867924528301887,0.37232298365308963,0.3767286341960659,0.3867924528301887
GradientBoostingClassifier,word2vec_1gram,0.42452830188679247,0.4135406030884594,0.4190980211688909,0.42452830188679247
MLPClassifier,word2vec_1gram,0.4716981132075472,0.43015887148398274,0.40015107600212163,0.4716981132075472
RandomForestClassifier,word2vec_1gram,0.4481132075471698,0.4243037650394596,0.4354461997072779,0.4481132075471698
SVC,word2vec_1gram,0.3915094339622642,0.32456113069320613,0.4005428578689771,0.3915094339622642
LogisticRegression,word2vec_3gram,0.5566037735849056,0.5239392128404337,0.5859656094826325,0.5566037735849056
KNeighborsClassifier,word2vec_3gram,0.42924528301886794,0.4153517804243635,0.4084292155921141,0.42924528301886794
GradientBoostingClassifier,word2vec_3gram,0.5141509433962265,0.49539865987412196,0.49575661843456525,0.5141509433962265
MLPClassifier,word2vec_3gram,0.45754716981132076,0.4199556339886528,0.39138928937086026,0.45754716981132076
RandomForestClassifier,word2vec_3gram,0.49528301886792453,0.466150607955541,0.4714034231726723,0.49528301886792453
SVC,word2vec_3gram,0.2830188679245283,0.13919722223183364,0.5036858536140735,0.2830188679245283
LogisticRegression,word2vec_1gram_w8,0.5471698113207547,0.5067385883997948,0.503186344577854,0.5471698113207547
KNeighborsClassifier,word2vec_1gram_w8,0.42924528301886794,0.419254708116709,0.4162377716623,0.42924528301886794
GradientBoostingClassifier,word2vec_1gram_w8,0.4339622641509434,0.3990607414763323,0.40727218107661556,0.4339622641509434
MLPClassifier,word2vec_1gram_w8,0.5235849056603774,0.47641786242477374,0.43735977078312543,0.5235849056603774
RandomForestClassifier,word2vec_1gram_w8,0.5,0.4715960865304991,0.46857008068727524,0.5
SVC,word2vec_1gram_w8,0.49056603773584906,0.44651383444566056,0.41023219948456785,0.49056603773584906
