Classifier,Vectorizer,accuracy,f1,precision,recall
LogisticRegression,bow_count,0.7735849056603774,0.7565505411959543,0.7734419668381932,0.7735849056603774
KNeighborsClassifier,bow_count,0.660377358490566,0.5690502616140797,0.6122641509433963,0.660377358490566
GradientBoostingClassifier,bow_count,0.7311320754716981,0.7098481167915767,0.7214001781119613,0.7311320754716981
MLPClassifier,bow_count,0.7547169811320755,0.7473495058400719,0.747234873129473,0.7547169811320755
RandomForestClassifier,bow_count,0.7216981132075472,0.6628013043107382,0.7547632891006477,0.7216981132075472
SVC,bow_count,0.7311320754716981,0.6976349610051628,0.7302912118976206,0.7311320754716981
LogisticRegression,bow_tfidf,0.7688679245283019,0.7466947325889997,0.7738282003741703,0.7688679245283019
KNeighborsClassifier,bow_tfidf,0.7169811320754716,0.7113003622097709,0.7089673361736661,0.7169811320754716
GradientBoostingClassifier,bow_tfidf,0.6933962264150944,0.6691250454640787,0.6741771409135638,0.6933962264150944
MLPClassifier,bow_tfidf,0.7594339622641509,0.73842559161249,0.7588291175861114,0.7594339622641509
RandomForestClassifier,bow_tfidf,0.7358490566037735,0.6856075812318285,0.7694772952965605,0.7358490566037735
SVC,bow_tfidf,0.7452830188679245,0.7094532644887322,0.7579100145137881,0.7452830188679245
LogisticRegression,word2vec_1gram,0.7830188679245284,0.7698857994041708,0.7812356189599632,0.7830188679245284
KNeighborsClassifier,word2vec_1gram,0.7216981132075472,0.6973943118654296,0.7102477777508659,0.7216981132075472
GradientBoostingClassifier,word2vec_1gram,0.7264150943396226,0.7117126159657342,0.7146797111576986,0.7264150943396226
MLPClassifier,word2vec_1gram,0.7405660377358491,0.7257555944273671,0.7310984122784431,0.7405660377358491
RandomForestClassifier,word2vec_1gram,0.7264150943396226,0.7036550597430886,0.7158712541620421,0.7264150943396226
SVC,word2vec_1gram,0.6698113207547169,0.5466598674145844,0.7798742138364779,0.6698113207547169
LogisticRegression,word2vec_3gram,0.7641509433962265,0.7529924934063704,0.7575743831640058,0.7641509433962265
KNeighborsClassifier,word2vec_3gram,0.6745283018867925,0.660133526850508,0.6570547051145128,0.6745283018867925
GradientBoostingClassifier,word2vec_3gram,0.7735849056603774,0.7582598117596896,0.7715933463138855,0.7735849056603774
MLPClassifier,word2vec_3gram,0.7358490566037735,0.7159756313952801,0.7268439108061749,0.7358490566037735
RandomForestClassifier,word2vec_3gram,0.7594339622641509,0.7440236843268083,0.7539749157573324,0.7594339622641509
SVC,word2vec_3gram,0.6698113207547169,0.5543551461607826,0.6960268505079826,0.6698113207547169
LogisticRegression,word2vec_1gram_w8,0.7830188679245284,0.7727530939338608,0.7788915094339622,0.7830188679245284
KNeighborsClassifier,word2vec_1gram_w8,0.7216981132075472,0.711036477787332,0.7104893424085829,0.7216981132075472
GradientBoostingClassifier,word2vec_1gram_w8,0.7216981132075472,0.6706501299414735,0.7374897456931911,0.7216981132075472
MLPClassifier,word2vec_1gram_w8,0.7641509433962265,0.7445302239164557,0.7637545584271443,0.7641509433962265
RandomForestClassifier,word2vec_1gram_w8,0.7594339622641509,0.7472896756172478,0.752448969743763,0.7594339622641509
SVC,word2vec_1gram_w8,0.7594339622641509,0.73842559161249,0.7588291175861114,0.7594339622641509
