Classifier,Vectorizer,accuracy,f1,precision,recall
Logistic Regression,word2vec_1gram,0.8425385934819897,0.8399791425597642,0.8406167946676302,0.8425385934819897
Logistic Regression,word2vec_3gram,0.8471126357918811,0.8446116655956277,0.845368279625054,0.8471126357918811
Logistic Regression,word2vec_1gram_w8,0.8457404230989136,0.8434232420819874,0.8438960425032838,0.8457404230989136
SVM,word2vec_1gram,0.8409376786735278,0.8380850329852687,0.8390309506735307,0.8409376786735278
Logistic Regression_balance,word2vec_1gram,0.8292738707833047,0.8316030927581314,0.8381442006441845,0.8292738707833047
SVM_balance,word2vec_1gram,0.8296169239565466,0.8318872990167305,0.838127962178331,0.8296169239565466
SVM,word2vec_3gram,0.8460834762721555,0.843509567387056,0.8443182881629341,0.8460834762721555
Logistic Regression_balance,word2vec_3gram,0.8359062321326473,0.8380150236201316,0.8437828070034369,0.8359062321326473
SVM_balance,word2vec_3gram,0.836592338479131,0.8387087695798776,0.8445593453353488,0.836592338479131
SVM,word2vec_1gram_w8,0.8448256146369354,0.842190084777396,0.8430249650704332,0.8448256146369354
Logistic Regression_balance,word2vec_1gram_w8,0.8311034877072613,0.833399544503771,0.8398802091034024,0.8311034877072613
SVM_balance,word2vec_1gram_w8,0.8299599771297884,0.8321963075319972,0.8382765391190747,0.8299599771297884
