,review_title,text,rating
0,"It may seem like harmless fun, but it really isn't","""Rock It!"" is a German 95-minute movie from 2010, so this one is also already over five years old. It was directed by Mike Marzuk and written by Peer Klehmet and Sebastian Wehlings and these three worked together on several other occasions as well. However, if you take a look at the other works by the, especially by the director, you can and should not be surprised how much of a failure this one here turned out to be. The cast includes some of Germany's rising stars, even today, like Schüle and Ehrich especially. Looking at the awards recognition, you also see Daniel Axt but honestly it seemed as if he never really managed a big breakthrough. Honestly, looking at his performance here, it is even shocking he received recognition for it. Anyway, this is the story of a girl who comes to a prestigious music school and has some time to prepare herself for a final test in which she needs to perform and convince the judges. It is also somewhat weak how this film somewhat includes casting show situations as something normal and appropriate, not just the final scene, but also when she wants to get into the rock band. Oh yeah, the girl did not know any rock music before. That's another plot point that really isn't working in the film's favor at all. But then again the worst aspect by far is probably what the film is trying to sell us as good music, namely generic bubble gum pop with zero depth and rock music with texts that have less meaning and depth than the Butterbrot you ate this morning. Shocking really. There are also some familiar faces to German film buffs I guess like Korittke, Profitlich and Nadolny, even if most of them don't have a great deal of runtime. Well.. what else can you say about this one. It also does not deliver in terms of romance because the characters, especially the young males are so shallow and never beyond the surface really. this film is a major disappointment, which is sending out all the wrong messages in terms of both music and film. Then again, like I already wrote, you cannot exactly be too surprised if you take a look at who made this. The stunning young female protagonists here are not enough to make up for the flaws with the story and 4 stars out of 10 is still very much on the generous side. I suggest you watch something else instead.",4
1,Amazing Film,"I've watched it every night for the last year. This truly is a masterpiece of a movie; for its time it's a wonder how they made it so good. I'm rating it 9 stars because I'd like more Mega Fat content to be honest but all in all great piece of cinematography. The actors did a wonderful job at their parts, Especially Remo Schulze and Jan Wannemacher as their parts in Mega Fat. Please make a sequel with more of a their content.",9
2,my favorite childhood movie,"I have seen this cartoon at the age of 6 or 7. It is a sequel to Cudesna Suma (English Title: The Elm Chanted Forest). Despite the popularity of the first one, the sequel never became quite so recognized by audiences. However, despite the better production, The Magician's Hat is and always will be my favorite. It is a movie I grew up with and I know it by heart. It wonderfully portrays the lives of the mystical and imaginary characters - the inhabitants of the Magic/Enchanted Forest which is under attack. Now, the creatures of the forest must fight the evil forces. It is something I would recommend to all regardless of their age and whereabouts for it is a cartoon worth seeing.",10
3,One of the rarest and best foreign animated films.,"I'm not much on magicians, but Thistle is pretty adorable. I love this film next to Disney's Bongo because of the animated romance. It's just so ""O.M.G."" warm. Too bad this never came out in the U.S.. But for the record, I'm glad this is the only version known to exist because, seriously, if this was dubbed is English, it would be really crappy and clumsy, like the English dubbed version ""The Elm-Chanted Forest"". It wasn't nearly as good as the original Croatian version. Especially ""Hurray for Betty Boop"", which was actually animated Betty Boop shorts combined together into a full length movie with poorly written script and it was totally badly criticized, in which it was never released on newer VHS. and DVDs (it was only released once on VHS back in the mid 1980s), possibly never seen again when the 1980s died. Even the Super Mario Bros. anime movie is better left in Japanese. The original is always best, even if I don't understand foreign language.",10
4,Just another crazy hitchhiker movie,"This movie is watchable, but nothing special. Four girls on a road trip to Vegas foolishly decide to pick up a hitchhiker (because he is cute). They all end up staying the night at a motel in the middle of nowhere, and the hitchhiker's psychotic issues with women become apparent.The characters are clichés--there is a married, responsible woman; a slutty party girl; an unsure bride-to-be; and a man-hater who just got dumped. The hitchhiker is genuinely nice until he goes crazy.There's not nearly enough gore, and way too much rape. I enjoy slasher horror/thrillers a lot, and this one did nothing for me. The ending was just as lame as the rest of the movie.On the positive side, the actors did a great job with that they had to work with. The dialogue isn't awful, and overall I was impressed with the cast, having never seen or heard of any of them before. And the plot wasn't out of the realm of possibility (although I really doubt any woman in this day and age would pick up a hitchhiker--no matter how attractive he is), so I wasn't groaning that things didn't make sense.Overall, ""The Hitchhiker"" was well-acted and made sense, but wasn't very interesting. There are a lot of better movies in the same genre that I would recommend over this one (""Rest Stop,"" ""The Devil's Rejects,"" ""Texas Chainsaw Massacre,"" even ""The Hitcher"" remake). Do yourself a favor and skip it unless you don't have any other options.",4
5,Believable? No way.,"About the spoiler warning? It's not ""may contain"", it -does- contain spoilers. Readers beware. Okay, first I need it to be known that I'm not bashing the actors. They're just working with what they're given. The problem was the script. It was horrendous. There was NOTHING believable about it at all. Sure, when you have a movie based on a murderous hitchhiker, there's going to be the bad mistake here and there that puts you in the terribly horrific, movie-worthy situation. But these girls just made stupid decision after stupid decision. The only girl smart enough to ever try and call the police was the girl added towards the end because he'd already killed one and hit another with a car. Speaking of hitting her with a car...why the hell did she try and outrun a truck rather than run to the side like a normal person? Also, does the one who wrote the script honest to god believe cops are not going to investigate a door covered in blood? Frankly, it wasn't suspenseful either. The only suspense I was feeling was the frustration at just how retarded the girls were. Well, this rant has gone on way longer than I meant to for such a bad movie, so I won't bother to touch on the end besides the fact it's unrealistic and lame.",2
6,"For The Asylum, it's not too bad but is still lacking in a number of areas","When I saw that The Hitchhiker was made by The Asylum, I immediately thought ""Oh no, here we go again"". But I watched it to give it a benefit of the doubt, and while for The Asylum it is not so bad The Hitchhiker is still lacking in a lot of areas. I'll give it some credit, Jeff Denton is quite good as the villain and it is not too cheap visually having some decent scenery and effects and the editing is not as choppy as feared. On the other hand, the dialogue is horrendously bad, the characters are undeveloped clichés and the story is painfully predictable and severely lacking in any kind of suspense. The rapes and gore are nowhere near harrowing enough, with too much of the former and not enough of the latter. The ending is far too jumpy and rushed and doesn't feel rounded off satisfactorily. Apart from Denton, the acting is poor, I didn't get any sense of terror from either of the women. So on the whole, lacking but a marginal improvement on the general standard of Asylum's movies. 4/10 Bethany Cox",4
7,if you've got nothing better to do...,"First, the current IMDb plot description seems to be misleading, the movie is about a group of girls who pick up a misogynistic hitchhiker, who plans to kill them all. They stop at a small motel, where he holds them hostage, but develops an intense attraction for one of the girls. Violence ensues.I picked this up by mistake thinking it was the other 2007 movie ""The Hitcher"". Not that The Hitcher is any better, and I was looking for a crummy movie to watch anyway, but this was almost unbearable at times. I think I could have vomited on a piece of paper and come up with a better plot than this.I can't even count how many movies I've seen with virtually the same storyline, so this was almost painfully predictable at times, but what really made it awful were a few scenes that ... well let me give an example. At one point a door is covered in (what is very obviously) blood, and two police officers, at the scene because of a 911 call, are looking at it from 30 feet away, see a man, also covered in blood, walk out of the door, agree that it looks suspicious, but decide to not investigate further.But, however ridiculous it may be, the movie was never boring, was well produced, directed, and acted, complete with good special effects, gratuitous nudity, and violence. I probably would not recommend actually spending 90 minutes of your life sitting down to watch this movie, but it turned out to be perfect to have on while I cleaned my basement. Also highly recommended for fans of crummy movies, and would be a good movie to watch with friends when you plan on doing more talking than watching.",4
8,"If You Can Forgive a Few Holes in the Plot, This is Worth Watching","I'm sure this film will get scathing reviews, but I actually found it to be quite tense, scary and disturbing. As much as you'd like to rip it apart at times for what it doesn't deliver, it does deliver enough to keep you glued to that screen the entire time, just like the box promises. The hell with Jason, Freddie, Michael Myers and the others; the scariest monster is the average guy-next-door that appears nice on the surface, then slowly morphs into a fearsome psychotic. Jeff Denton did an admirable job as this particular ""nice-guy"" killer, and he was pretty darned believable. Even though the girls were obviously not professional actresses, they managed to deliver worthy performances in these roles, adding to the dreaded atmosphere. The dumb-cop segment was pretty far-fetched, but like I said, it can be forgiven in favor of the unsettling mood this movie created. As soon as I saw that plastic-lined motel room, I knew this was going to get brutal. Call me a sadist, but I just really love this type of movie. 8 stars.",8
9,Another Green lighted awful flick!,"OK I went to this website before I watched this movie, read the comments, got pumped, - cause they where all pretty good for a B-flick - watched it and was completely disappointed. The main characters wannabe lone rebel straight out of the mid-west act was sickening to the stomach, and don't even get me started on the two cops, I mean there's a bloody door right there in plain view, check it out! The plot was completely predictable, the editing was rather limited, I swear the editor was even dozing off near the end when he was cutting this movie, and the direction was clouded by bad cinematography. Now please don't get me wrong, I love B-flicks, some are really good.Want to watch a good B rated flick???Dave recommends"" High Tension ""http://imdb.com/title/tt0338095/",1
